"timestamp","instance","resource","value"
"2020-06-21 00:00:32","3","3303","21.8"
"2020-06-21 00:00:32","3","3304","77.1"
"2020-06-21 00:00:32","3","3307","3.3"
"2020-06-21 00:00:32","3","3305","3.3"
"2020-06-21 00:00:32","3","3306","0.02"
"2020-06-21 00:00:33","3","3308","928.1"
"2020-06-21 00:00:33","3","3316","3.97"
"2020-06-21 00:01:40","3","3303","21.8"
"2020-06-21 00:01:40","3","3304","77.1"
"2020-06-21 00:01:40","3","3307","3.3"
"2020-06-21 00:01:40","3","3305","3.3"
"2020-06-21 00:01:40","3","3306","0.02"
"2020-06-21 00:01:40","3","3308","928.2"
"2020-06-21 00:01:41","3","3316","3.97"
"2020-06-21 00:02:47","3","3303","21.8"
"2020-06-21 00:02:48","3","3304","77.0"
"2020-06-21 00:02:48","3","3307","3.3"
"2020-06-21 00:02:48","3","3305","3.3"
"2020-06-21 00:02:48","3","3306","0.02"
"2020-06-21 00:02:48","3","3308","928.1"
"2020-06-21 00:02:48","3","3316","3.97"
"2020-06-21 00:04:14","5","3303","-127.0"
"2020-06-21 00:04:14","5","3304","-127.0"
"2020-06-21 00:04:14","5","3307","3.3"
"2020-06-21 00:04:14","5","3305","3.3"
"2020-06-21 00:04:14","5","3306","1.62"
"2020-06-21 00:04:14","5","3308","0.0"
"2020-06-21 00:04:15","5","3316","4.01"
"2020-06-21 00:06:58","3","3303","21.8"
"2020-06-21 00:06:59","3","3304","77.0"
"2020-06-21 00:06:59","3","3307","3.3"
"2020-06-21 00:06:59","3","3305","3.3"
"2020-06-21 00:06:59","3","3306","0.02"
"2020-06-21 00:06:59","3","3308","928.0"
"2020-06-21 00:06:59","3","3316","3.97"
"2020-06-21 00:08:38","5","3303","-127.0"
"2020-06-21 00:08:38","5","3304","-127.0"
"2020-06-21 00:08:38","5","3307","3.3"
"2020-06-21 00:08:38","5","3305","3.3"
"2020-06-21 00:08:38","5","3306","1.62"
"2020-06-21 00:08:38","5","3308","0.0"
"2020-06-21 00:08:39","5","3316","4.01"
"2020-06-21 00:09:52","5","3303","-127.0"
"2020-06-21 00:09:52","5","3304","-127.0"
"2020-06-21 00:09:52","5","3307","3.3"
"2020-06-21 00:09:52","5","3305","3.3"
"2020-06-21 00:09:53","5","3306","1.62"
"2020-06-21 00:09:53","5","3308","0.0"
"2020-06-21 00:09:53","5","3316","4.01"
"2020-06-21 00:10:11","3","3303","21.8"
"2020-06-21 00:10:11","3","3304","77.1"
"2020-06-21 00:10:11","3","3307","3.3"
"2020-06-21 00:10:12","3","3305","3.3"
"2020-06-21 00:10:12","3","3306","0.02"
"2020-06-21 00:10:12","3","3308","928.1"
"2020-06-21 00:10:12","3","3316","3.97"
"2020-06-21 00:15:25","5","3303","-127.0"
"2020-06-21 00:15:25","5","3304","-127.0"
"2020-06-21 00:15:25","5","3307","3.3"
"2020-06-21 00:15:25","5","3305","3.3"
"2020-06-21 00:15:26","5","3306","1.62"
"2020-06-21 00:15:26","5","3308","0.0"
"2020-06-21 00:15:26","5","3316","4.01"
"2020-06-21 00:15:29","3","3303","21.8"
"2020-06-21 00:15:29","3","3304","77.1"
"2020-06-21 00:15:29","3","3307","3.3"
"2020-06-21 00:15:29","3","3305","3.3"
"2020-06-21 00:15:29","3","3306","0.02"
"2020-06-21 00:15:30","3","3308","928.0"
"2020-06-21 00:15:30","3","3316","3.97"
"2020-06-21 00:16:37","3","3303","21.7"
"2020-06-21 00:16:37","3","3304","76.9"
"2020-06-21 00:16:37","3","3307","3.3"
"2020-06-21 00:16:37","3","3305","3.3"
"2020-06-21 00:16:37","3","3306","0.02"
"2020-06-21 00:16:37","3","3308","928.0"
"2020-06-21 00:16:37","3","3316","3.97"
"2020-06-21 00:17:44","3","3303","21.7"
"2020-06-21 00:17:45","3","3304","76.9"
"2020-06-21 00:17:45","3","3307","3.3"
"2020-06-21 00:17:45","3","3305","3.3"
"2020-06-21 00:17:45","3","3306","0.02"
"2020-06-21 00:17:45","3","3308","927.9"
"2020-06-21 00:17:45","3","3316","3.97"
"2020-06-21 00:18:54","3","3303","21.7"
"2020-06-21 00:18:54","3","3304","76.9"
"2020-06-21 00:18:54","3","3307","3.3"
"2020-06-21 00:18:55","3","3305","3.3"
"2020-06-21 00:18:55","3","3306","0.02"
"2020-06-21 00:18:55","3","3308","928.0"
"2020-06-21 00:18:55","3","3316","3.97"
"2020-06-21 00:19:49","5","3303","-127.0"
"2020-06-21 00:19:49","5","3304","-127.0"
"2020-06-21 00:19:49","5","3307","3.3"
"2020-06-21 00:19:50","5","3305","3.3"
"2020-06-21 00:19:50","5","3306","1.62"
"2020-06-21 00:19:50","5","3308","0.0"
"2020-06-21 00:19:50","5","3316","4.01"
"2020-06-21 00:22:07","3","3303","21.7"
"2020-06-21 00:22:07","3","3304","76.9"
"2020-06-21 00:22:07","3","3307","3.3"
"2020-06-21 00:22:07","3","3305","3.3"
"2020-06-21 00:22:08","3","3306","0.02"
"2020-06-21 00:22:08","3","3308","927.9"
"2020-06-21 00:22:08","3","3316","3.97"
"2020-06-21 00:25:22","5","3303","-127.0"
"2020-06-21 00:25:22","5","3304","-127.0"
"2020-06-21 00:25:22","5","3307","3.3"
"2020-06-21 00:25:23","5","3305","3.3"
"2020-06-21 00:25:23","5","3306","1.64"
"2020-06-21 00:25:23","5","3308","0.0"
"2020-06-21 00:25:23","5","3316","4.01"
"2020-06-21 00:26:18","3","3303","21.7"
"2020-06-21 00:26:18","3","3304","77.9"
"2020-06-21 00:26:18","3","3307","3.3"
"2020-06-21 00:26:18","3","3305","3.3"
"2020-06-21 00:26:19","3","3306","0.02"
"2020-06-21 00:26:19","3","3308","927.9"
"2020-06-21 00:26:19","3","3316","3.97"
"2020-06-21 00:28:24","3","3303","21.7"
"2020-06-21 00:28:24","3","3304","77.9"
"2020-06-21 00:28:24","3","3307","3.3"
"2020-06-21 00:28:24","3","3305","3.3"
"2020-06-21 00:28:25","3","3306","0.02"
"2020-06-21 00:28:25","3","3308","927.9"
"2020-06-21 00:28:25","3","3316","3.97"
"2020-06-21 00:29:34","3","3303","21.6"
"2020-06-21 00:29:34","3","3304","76.8"
"2020-06-21 00:29:34","3","3307","3.3"
"2020-06-21 00:29:34","3","3305","3.3"
"2020-06-21 00:29:34","3","3306","0.02"
"2020-06-21 00:29:35","3","3308","927.9"
"2020-06-21 00:29:35","3","3316","3.97"
"2020-06-21 00:29:46","5","3303","-127.0"
"2020-06-21 00:29:46","5","3304","-127.0"
"2020-06-21 00:29:46","5","3307","3.3"
"2020-06-21 00:29:47","5","3305","3.3"
"2020-06-21 00:29:47","5","3306","1.64"
"2020-06-21 00:29:47","5","3308","0.0"
"2020-06-21 00:29:47","5","3316","4.01"
"2020-06-21 00:31:40","3","3303","21.6"
"2020-06-21 00:31:40","3","3304","76.8"
"2020-06-21 00:31:40","3","3307","3.3"
"2020-06-21 00:31:40","3","3305","3.3"
"2020-06-21 00:31:40","3","3306","0.02"
"2020-06-21 00:31:41","3","3308","927.9"
"2020-06-21 00:31:41","3","3316","3.97"
"2020-06-21 00:33:46","3","3303","21.6"
"2020-06-21 00:33:46","3","3304","77.9"
"2020-06-21 00:33:46","3","3307","3.3"
"2020-06-21 00:33:46","3","3305","3.3"
"2020-06-21 00:33:47","3","3306","0.02"
"2020-06-21 00:33:47","3","3308","927.8"
"2020-06-21 00:33:47","3","3316","3.97"
"2020-06-21 00:34:10","5","3303","-127.0"
"2020-06-21 00:34:10","5","3304","-127.0"
"2020-06-21 00:34:10","5","3307","3.3"
"2020-06-21 00:34:11","5","3305","3.3"
"2020-06-21 00:34:11","5","3306","1.64"
"2020-06-21 00:34:11","5","3308","0.0"
"2020-06-21 00:34:11","5","3316","4.01"
"2020-06-21 00:35:52","3","3303","21.6"
"2020-06-21 00:35:52","3","3304","77.9"
"2020-06-21 00:35:52","3","3307","3.3"
"2020-06-21 00:35:53","3","3305","3.3"
"2020-06-21 00:35:53","3","3306","0.02"
"2020-06-21 00:35:53","3","3308","927.7"
"2020-06-21 00:35:53","3","3316","3.97"
"2020-06-21 00:36:25","5","3303","-127.0"
"2020-06-21 00:36:25","5","3304","-127.0"
"2020-06-21 00:36:25","5","3307","3.3"
"2020-06-21 00:36:25","5","3305","3.3"
"2020-06-21 00:36:25","5","3306","1.64"
"2020-06-21 00:36:26","5","3308","0.0"
"2020-06-21 00:36:26","5","3316","4.01"
"2020-06-21 00:39:05","3","3303","21.6"
"2020-06-21 00:39:05","3","3304","76.7"
"2020-06-21 00:39:05","3","3307","3.3"
"2020-06-21 00:39:05","3","3305","3.3"
"2020-06-21 00:39:05","3","3306","0.02"
"2020-06-21 00:39:06","3","3308","927.7"
"2020-06-21 00:39:06","3","3316","3.97"
"2020-06-21 00:41:58","5","3303","-127.0"
"2020-06-21 00:41:58","5","3304","-127.0"
"2020-06-21 00:41:58","5","3307","3.3"
"2020-06-21 00:41:58","5","3305","3.3"
"2020-06-21 00:41:58","5","3306","1.64"
"2020-06-21 00:41:59","5","3308","0.0"
"2020-06-21 00:41:59","5","3316","4.01"
"2020-06-21 00:42:18","3","3303","21.6"
"2020-06-21 00:42:18","3","3304","76.7"
"2020-06-21 00:42:18","3","3307","3.3"
"2020-06-21 00:42:18","3","3305","3.3"
"2020-06-21 00:42:18","3","3306","0.02"
"2020-06-21 00:42:18","3","3308","927.6"
"2020-06-21 00:42:18","3","3316","3.97"
"2020-06-21 00:44:13","5","3303","-127.0"
"2020-06-21 00:44:13","5","3304","-127.0"
"2020-06-21 00:44:13","5","3307","3.3"
"2020-06-21 00:44:13","5","3305","3.3"
"2020-06-21 00:44:13","5","3306","1.64"
"2020-06-21 00:44:13","5","3308","0.0"
"2020-06-21 00:44:13","5","3316","4.01"
"2020-06-21 00:45:30","3","3303","21.6"
"2020-06-21 00:45:30","3","3304","76.8"
"2020-06-21 00:45:31","3","3307","3.3"
"2020-06-21 00:45:31","3","3305","3.3"
"2020-06-21 00:45:31","3","3306","0.02"
"2020-06-21 00:45:31","3","3308","927.5"
"2020-06-21 00:45:31","3","3316","3.97"
"2020-06-21 00:47:36","5","3303","-127.0"
"2020-06-21 00:47:36","5","3304","-127.0"
"2020-06-21 00:47:37","5","3307","3.3"
"2020-06-21 00:47:37","5","3305","3.3"
"2020-06-21 00:47:37","5","3306","1.64"
"2020-06-21 00:47:37","5","3308","0.0"
"2020-06-21 00:47:37","5","3316","4.01"
"2020-06-21 00:48:43","3","3303","21.6"
"2020-06-21 00:48:43","3","3304","76.8"
"2020-06-21 00:48:43","3","3307","3.3"
"2020-06-21 00:48:43","3","3305","3.3"
"2020-06-21 00:48:44","3","3306","0.02"
"2020-06-21 00:48:44","3","3308","927.5"
"2020-06-21 00:48:44","3","3316","3.97"
"2020-06-21 00:51:56","3","3303","21.5"
"2020-06-21 00:51:56","3","3304","76.6"
"2020-06-21 00:51:56","3","3307","3.3"
"2020-06-21 00:51:56","3","3305","3.3"
"2020-06-21 00:51:56","3","3306","0.02"
"2020-06-21 00:51:56","3","3308","927.3"
"2020-06-21 00:51:57","3","3316","3.97"
"2020-06-21 00:52:00","5","3303","-127.0"
"2020-06-21 00:52:00","5","3304","-127.0"
"2020-06-21 00:52:01","5","3307","3.3"
"2020-06-21 00:52:01","5","3305","3.3"
"2020-06-21 00:52:01","5","3306","1.64"
"2020-06-21 00:52:01","5","3308","0.0"
"2020-06-21 00:52:01","5","3316","4.01"
"2020-06-21 00:54:02","3","3303","21.5"
"2020-06-21 00:54:02","3","3304","76.6"
"2020-06-21 00:54:02","3","3307","3.3"
"2020-06-21 00:54:02","3","3305","3.3"
"2020-06-21 00:54:02","3","3306","0.02"
"2020-06-21 00:54:03","3","3308","927.3"
